                                                                                  REPORTE FINAL
                              ARTISTAS                               TITULOS                        REPRODUCCIONES                               GENEROS                             BAILABLES
                           Leona_Lewis                    A_Moment_Like_This                                257293                               pop-R&B                                 0.261
                           Leona_Lewis                        Better_in_Time                                234173                               pop-R&B                                 0.584
                           Leona_Lewis                         Bleeding_Love                                262466                               pop-R&B                                 0.638
                           Leona_Lewis                                   Run                                314720                               pop-R&B                                 0.285
                         Lewis_Capaldi                     Someone_You_Loved                                182160                                   pop                                 0.501
                            Liam_Payne                               For_You                                245453                                   pop                                 0.541
                            Liam_Payne                       Strip_That_Down                                204502                                   pop                                 0.869
                             Liberty_X                         Just_A_Little                                237359                                   pop                                 0.786
                             Lifehouse                   Hanging_By_A_Moment                                216360                        pop-rock-metal                                 0.537
                             Lil'_Flip                              Sunshine                                225173                            hiphop-pop                                 0.814
                              Lil'_Kim                           Magic_Stick                                359973                        hiphop-pop-R&B                                 0.849
                              Lil'_Kim                          The_Jump_Off                                234800                        hiphop-pop-R&B                                 0.853
                              Lil_Baby                            Yes_Indeed                                142273                                hiphop                                 0.963
                             Lil_Dicky                         Freaky_Friday                                216631                            hiphop-pop                                 0.755
                               Lil_Jon                       Snap_Yo_Fingers                                274386                            hiphop-pop                                 0.835
          Lil_Jon_&_The_East_Side_Boyz                               Get_Low                                324600                            hiphop-pop                                  0.78
          Lil_Jon_&_The_East_Side_Boyz                    Lovers_And_Friends                                260600                            hiphop-pop                                 0.675
                             Lil_Nas_X                         Old_Town_Road                                113000                            hiphop-pop                                 0.907
                             Lil_Nas_X                         Old_Town_Road                                157066                            hiphop-pop                                 0.878
                             Lil_Nas_X                                Panini                                114893                            hiphop-pop                                 0.703
                              Lil_Peep                        Save_That_Shit                                231546                                hiphop                                 0.534
                              Lil_Pump                            Gucci_Gang                                124055                                hiphop                                 0.936
                             Lil_Tecca                                Ransom                                131240                                hiphop                                 0.745
                          Lil_Uzi_Vert                         XO_Tour_Llif3                                182706                                hiphop                                 0.732
                             Lil_Wayne                         6_Foot_7_Foot                                248586                            hiphop-pop                                 0.364
                             Lil_Wayne                               A_Milli                                221840                            hiphop-pop                                 0.674
                             Lil_Wayne                             Got_Money                                244626                            hiphop-pop                                 0.694
                             Lil_Wayne                           How_To_Love                                240306                            hiphop-pop                                 0.644
                             Lil_Wayne                              Lollipop                                299333                            hiphop-pop                                 0.829
                             Lil_Wayne                               Love_Me                                255053                            hiphop-pop                                 0.669
                             Lil_Wayne                        Right_Above_It                                271946                            hiphop-pop                                 0.376
                             Lil_Wayne                       Sucker_for_Pain                                243490                            hiphop-pop                                 0.502
              Lilly_Wood_and_The_Prick                           Prayer_in_C                                189399                              pop-rock                                  0.76
                            Lily_Allen                              Not_Fair                                201213                                   pop                                 0.719
                            Lily_Allen                                 Smile                                196893                                   pop                                 0.632
                            Lily_Allen                              The_Fear                                207120                                   pop                                 0.661
                           Limp_Bizkit                      Behind_Blue_Eyes                                269973                                 metal                                 0.595
                           Limp_Bizkit                               Rollin'                                213760                                 metal                                 0.603
                           Limp_Bizkit                    Take_A_Look_Around                                321040                                 metal                                 0.425
                           Linkin_Park                          BURN_IT_DOWN                                230253                            rock-metal                                 0.585
                           Linkin_Park                          Bleed_It_Out                                166373                            rock-metal                                 0.529
                           Linkin_Park                    Breaking_the_Habit                                196906                            rock-metal                                 0.579
                           Linkin_Park                                 Faint                                162600                            rock-metal                                 0.554
                           Linkin_Park                            In_the_End                                216880                            rock-metal                                 0.556
                           Linkin_Park                            In_the_End                                216880                            rock-metal                                 0.556
                           Linkin_Park                            New_Divide                                268613                            rock-metal                                 0.493
                           Linkin_Park                                  Numb                                185586                            rock-metal                                 0.496
                           Linkin_Park                        What_I've_Done                                205613                            rock-metal                                 0.623
                            Little_Mix                           Black_Magic                                211773                                   pop                                 0.777
                            Little_Mix                    Shout_Out_to_My_Ex                                246240                                   pop                                 0.773
                            Little_Mix                                 Wings                                219733                                   pop                                 0.738
                                 Lloyd                         Get_It_Shawty                                209533                        hiphop-pop-R&B                                 0.822
                                 Lloyd                             Southside                                277840                        hiphop-pop-R&B                                 0.688
                                 Lloyd                                   You                                273133                        hiphop-pop-R&B                                 0.412
                           Lloyd_Banks                               On_Fire                                187280                            hiphop-pop                                 0.759
                                 Logic                              Everyday                                204746                            hiphop-pop                                 0.667
                                 Lorde                     Homemade_Dynamite                                214254                  pop-Dance/Electronic                                 0.781
                                 Lorde                                Royals                                190185                  pop-Dance/Electronic                                 0.674
                                 Lorde                                  Team                                193058                  pop-Dance/Electronic                                  0.69
                                 Lorde                                  Team                                193058                  pop-Dance/Electronic                                 0.691
                      Lost_Frequencies                       Are_You_With_Me                                138842                  pop-Dance/Electronic                                 0.776
                           Loud_Luxury                                  Body                                163216                  pop-Dance/Electronic                                 0.752
                               Lucenzo                          Danza_Kuduro                                213986                                 latin                                 0.622
                              Ludacris                              Get_Back                                270746                            hiphop-pop                                 0.555
                              Ludacris                               How_Low                                201586                            hiphop-pop                                 0.785
                              Ludacris                           Money_Maker                                230613                            hiphop-pop                                 0.551
                              Ludacris                          My_Chick_Bad                                216933                            hiphop-pop                                 0.624
                              Ludacris                               Rollout                                296586                            hiphop-pop                                 0.921
                              Ludacris                          Runaway_Love                                280680                            hiphop-pop                                 0.405
                              Ludacris                  Southern_Hospitality                                300933                            hiphop-pop                                 0.623
                              Ludacris                     Splash_Waterfalls                                290760                            hiphop-pop                                 0.734
                              Ludacris                              Stand_Up                                213760                            hiphop-pop                                 0.751
                            Luis_Fonsi                             Despacito                                228200                             pop-latin                                  0.66
                            Luis_Fonsi                       Echame_la_culpa                                173720                             pop-latin                                 0.733
                               Lumidee                       Never_Leave_You                                184906                               pop-R&B                                 0.811
                                 Lunay                               Soltera                                266086                             pop-latin                                 0.795
                           Lupe_Fiasco                             Superstar                                289000                            hiphop-pop                                 0.572
                           Lupe_Fiasco                      The_Show_Goes_On                                239613                            hiphop-pop                                 0.591
                              Lykke_Li                       I_Follow_Rivers                                281106                  pop-Dance/Electronic                                 0.786
                                M.I.A.                          Paper_Planes                                205200                              pop-rock                                 0.447
                                   M.O                              Bad_Vibe                                214253                  pop-Dance/Electronic                                 0.813
                                M.O.P.                           Cold_as_Ice                                244466                                hiphop                                 0.656
                                   M83                         Midnight_City                                243960       rock-pop-metal-Dance/Electronic                                 0.507
                                MAGIC!                                  Rude                                224840                                   pop                                 0.773
                                MARINA              How_to_Be_a_Heartbreaker                                221493                  pop-Dance/Electronic                                  0.69
                                MARINA                            Primadonna                                221075                  pop-Dance/Electronic                                  0.66
                                MEDUZA                   Piece_Of_Your_Heart                                152913                  pop-Dance/Electronic                                 0.677
                                  MGMT                                  Kids                                302840                                  rock                                 0.451
                                  MGMT                       Little_Dark_Age                                299960                                  rock                                 0.705
                                  MIKA                           Grace_Kelly                                187733                                   pop                                 0.675
                                  MIKA                            Love_Today                                235173                                   pop                                 0.673
                                    MK                                    17                                196489                  pop-Dance/Electronic                                 0.703
                                  MKTO                               Classic                                175426                            hiphop-pop                                  0.72
                                  MNEK                      Never_Forget_You                                213427                      Dance/Electronic                                 0.583
                                 Mabel                      Don't_Call_Me_Up                                178480                  pop-Dance/Electronic                                 0.674
                                 Mabel                              Mad_Love                                169813                  pop-Dance/Electronic                                 0.631
                            Mac_Miller                          Donald_Trump                                165908                                hiphop                                 0.636
                     Machine_Gun_Kelly                                  Home                                202804                            hiphop-pop                                 0.653
                            Macklemore                              Glorious                                220454                            hiphop-pop                                 0.731
               Macklemore_&_Ryan_Lewis                         Can't_Hold_Us                                258342                            hiphop-pop                                 0.641
               Macklemore_&_Ryan_Lewis                           Thrift_Shop                                235613                            hiphop-pop                                 0.781
                                Madcon                                Beggin                                216146                            hiphop-pop                                 0.715
                        Madison_Avenue                    Don't_Call_Me_Baby                                228140                      Dance/Electronic                                 0.808
                               Madonna                             4_Minutes                                189693                                   pop                                 0.753
                               Madonna                          American_Pie                                273533                                   pop                                 0.631
                               Madonna                       Die_Another_Day                                276360                                   pop                                 0.792
                               Madonna                         Don't_Tell_Me                                280973                                   pop                                 0.699
                               Madonna                          Give_It_2_Me                                287906                                   pop                                 0.837
                               Madonna                               Hung_Up                                337733                                   pop                                 0.649
                               Madonna                                 Music                                225973                                   pop                                 0.736
                               Madonna                                 Sorry                                281880                                   pop                                 0.589
                      Maggie_Lindemann                           Pretty_Girl                                193613                              rock-pop                                 0.703
                           Major_Lazer                            Cold_Water                                185351           hiphop-pop-Dance/Electronic                                 0.608
                           Major_Lazer                               Lean_On                                176561           hiphop-pop-Dance/Electronic                                 0.723
                           Major_Lazer                           Light_It_Up                                166138           hiphop-pop-Dance/Electronic                                 0.746
                                Maluma                               Corazon                                184720                                 latin                                 0.722
                Manic_Street_Preachers         Your_Love_Alone_Is_Not_Enough                                235693                              rock-pop                                 0.344
                                  Mann                          Buzzin_Remix                                224333                            hiphop-pop                                 0.687
                          Marc_Anthony                        You_Sang_To_Me                                347106                             pop-latin                                 0.578
                          Mariah_Carey                      Against_All_Odds                                199480                               pop-R&B                                 0.471
                          Mariah_Carey                 Don't_Forget_About_Us                                233866                               pop-R&B                                   0.7
                          Mariah_Carey                        It's_Like_That                                203360                               pop-R&B                                   0.8
                          Mariah_Carey                              Loverboy                                229173                               pop-R&B                                 0.721
                          Mariah_Carey                              Obsessed                                242200                               pop-R&B                                 0.742
                          Mariah_Carey                 Thank_God_I_Found_You                                257360                               pop-R&B                                 0.348
                          Mariah_Carey                         Touch_My_Body                                204733                               pop-R&B                                 0.715
                          Mariah_Carey                    We_Belong_Together                                201400                               pop-R&B                                  0.84
                        Marilyn_Manson                          Tainted_Love                                200426                            rock-metal                                 0.622
                                 Mario                              Break_Up                                249026                               pop-R&B                                  0.44
                                 Mario                       Let_Me_Love_You                                256733                               pop-R&B                                 0.656
                          Mario_Winans                    I_Don't_Wanna_Know                                257333                                   pop                                 0.833
                           Mark_Ronson           Nothing_Breaks_Like_a_Heart                                217466                                   pop                                 0.601
                           Mark_Ronson                               Stop_Me                                232946                                   pop                                 0.626
                           Mark_Ronson                           Uptown_Funk                                269666                                   pop                                 0.856
                           Mark_Ronson                               Valerie                                219413                                   pop                                 0.698
                              Maroon_5                               Animals                                231013                                   pop                                 0.279
                              Maroon_5                                  Cold                                234308                                   pop                                 0.697
                              Maroon_5                              Daylight                                225066                                   pop                                 0.656
                              Maroon_5                      Don't_Wanna_Know                                214265                                   pop                                 0.783
                              Maroon_5                        Girls_Like_You                                235545                                   pop                                 0.851
                              Maroon_5                       Makes_Me_Wonder                                211080                                   pop                                 0.803
                              Maroon_5                                  Maps                                189840                                   pop                                 0.737
                              Maroon_5                                Misery                                216200                                   pop                                 0.703
                              Maroon_5                     Moves_Like_Jagger                                201493                                   pop                                 0.722
                              Maroon_5                        One_More_Night                                219546                                   pop                                 0.716
                              Maroon_5                              Payphone                                231173                                   pop                                 0.743
                              Maroon_5                                 Sugar                                235493                                   pop                                 0.744
                              Maroon_5                             This_Love                                206200                                   pop                                 0.712
                            Marshmello                                 Alone                                273802                  pop-Dance/Electronic                                 0.631
                            Marshmello                               FRIENDS                                202620                  pop-Dance/Electronic                                 0.626
                            Marshmello                               Happier                                214289                  pop-Dance/Electronic                                 0.687
                            Marshmello                       One_Thing_Right                                181823                  pop-Dance/Electronic                                 0.659
                            Marshmello                               Silence                                180822                  pop-Dance/Electronic                                  0.52
                            Marshmello                             Spotlight                                177600                  pop-Dance/Electronic                                 0.546
                         Martin_Garrix                               Animals                                176117                  pop-Dance/Electronic                                 0.593
                         Martin_Garrix                   In_the_Name_of_Love                                195706                  pop-Dance/Electronic                                 0.501
                         Martin_Garrix                   Scared_to_Be_Lonely                                220883                  pop-Dance/Electronic                                 0.584
                         Martin_Jensen                            Solo_Dance                                174933                  pop-Dance/Electronic                                 0.744
                        Martin_Solveig                           Intoxicated                                159693                  pop-Dance/Electronic                                   0.8
                         Mary_J._Blige                        Be_Without_You                                246333                               pop-R&B                                 0.726
                         Mary_J._Blige                         Family_Affair                                265866                               pop-R&B                                 0.911
                         Mary_J._Blige                             Just_Fine                                242133                               pop-R&B                                 0.923
                         Mary_J._Blige                         No_More_Drama                                326240                               pop-R&B                                 0.653
                         Mary_J._Blige                                   One                                260466                               pop-R&B                                 0.344
                         Mary_J._Blige                            Rainy_Dayz                                276373                               pop-R&B                                 0.412
                             Mary_Mary                              Shackles                                198346                                   R&B                                 0.779
                       Matchbox_Twenty                                  Bent                                256133                              pop-rock                                 0.518
                       Matchbox_Twenty                                Unwell                                228706                              pop-rock                                 0.256
                           Matt_Cardle                       When_We_Collide                                226000                                   pop                                 0.443
                                  Maya                  My_Love_Is_Like...Wo                                209533                               pop-R&B                                 0.831
                                  Meck             Thunder_in_My_Heart_Again                                189800                                   pop                                 0.679
                             Meek_Mill                       All_Eyes_on_You                                223973                            hiphop-pop                                 0.589
                             Meek_Mill                             Going_Bad                                180522                            hiphop-pop                                 0.889
                   Megan_Thee_Stallion                       Hot_Girl_Summer                                199427                        hiphop-pop-R&B                                 0.872
                        Meghan_Trainor                   All_About_That_Bass                                187920                                   pop                                 0.807
                        Meghan_Trainor                        Lips_Are_Movin                                182666                                   pop                                 0.775
                        Meghan_Trainor                                    NO                                213506                                   pop                                 0.557
                             Melanie_C                         I_Turn_To_You                                352173                  pop-Dance/Electronic                                 0.522
                             Melanie_C               Never_Be_The_Same_Again                                294200                  pop-Dance/Electronic                                 0.689
                         Metro_Station                              Shake_It                                179946                              pop-rock                                 0.618
                                  MiMS                   This_Is_Why_I'm_Hot                                253706                            hiphop-pop                                 0.621
                       Michael_Jackson                     You_Rock_My_World                                337733                               pop-R&B                                 0.854
                           Michel_Telo                      Ai_Se_Eu_Te_Pego                                166866                         country-latin                                 0.676
                       Michelle_Branch                        All_You_Wanted                                217680                     pop-Folk/Acoustic                                 0.499
                                 Migos                        Bad_and_Boujee                                343150                            hiphop-pop                                 0.926
                                 Migos                            MotorSport                                303076                            hiphop-pop                                 0.904
                                 Migos                              Slippery                                304041                            hiphop-pop                                  0.92
                                 Migos                              Stir_Fry                                190288                            hiphop-pop                                 0.817
                                 Migos                                     T                                242407                            hiphop-pop                                 0.865
                                 Migos                       Walk_It_Talk_It                                276147                            hiphop-pop                                 0.907
                                Miguel                            Sure_Thing                                195373                               pop-R&B                                 0.684
                            Mike_Perry                             The_Ocean                                183414                  pop-Dance/Electronic                                 0.632
                           Mike_Posner                        Cooler_Than_Me                                213293           hiphop-pop-Dance/Electronic                                 0.768
                           Mike_Posner                I_Took_A_Pill_In_Ibiza                                197933           hiphop-pop-Dance/Electronic                                 0.664
                           Miley_Cyrus                        Can't_Be_Tamed                                168213                                   pop                                  0.63
                           Miley_Cyrus                   Party_In_The_U.S.A.                                202066                                   pop                                 0.652
                           Miley_Cyrus                         See_You_Again                                190453                                   pop                                 0.692
                           Miley_Cyrus                         We_Can't_Stop                                231240                                   pop                                 0.613
                           Miley_Cyrus                         Wrecking_Ball                                221360                                   pop                                  0.53
                          Milky_Chance                          Stolen_Dance                                313684                                   pop                                 0.885
                                   Mis                            All_I_Want                                207400                  pop-Dance/Electronic                                 0.795
                                   Mis                            Scandalous                                238840                  pop-Dance/Electronic                                 0.734
                         Missy_Elliott                           4_My_People                                289373                        hiphop-pop-R&B                                 0.969
                         Missy_Elliott                       Get_Ur_Freak_On                                211120                        hiphop-pop-R&B                                 0.797
                         Missy_Elliott                          Gossip_Folks                                234893                        hiphop-pop-R&B                                 0.707
                         Missy_Elliott                              Hot_Boyz                                215466                        hiphop-pop-R&B                                 0.727
                         Missy_Elliott                          Lose_Control                                226863                        hiphop-pop-R&B                                 0.904
                         Missy_Elliott                        One_Minute_Man                                252986                        hiphop-pop-R&B                                 0.622
                         Missy_Elliott                               Work_It                                263226                        hiphop-pop-R&B                                 0.884
                         Missy_Elliott                               Work_It                                263226                        hiphop-pop-R&B                                 0.884
                                    Mo                            Final_Song                                235826                  pop-Dance/Electronic                                 0.695
                                 Modjo                                  Lady                                307153                      Dance/Electronic                                  0.72
                                Moloko                       The_Time_Is_Now                                318280                  pop-Dance/Electronic                                 0.682
                                Monica                               So_Gone                                242773                               pop-R&B                                 0.618
                        Montell_Jordan                      Get_It_On_Tonite                                276266                        hiphop-pop-R&B                                 0.813
                             Mr._Probz                                 Waves                                208133               hiphop-Dance/Electronic                                 0.829
                        Mumford_&_Sons                       Little_Lion_Man                                245173                Folk/Acoustic-rock-pop                                 0.517
                                  Muse               Supermassive_Black_Hole                                212439                                  rock                                 0.668
                                  Muse                              Uprising                                304840                                  rock                                 0.602
                       Musiq_Soulchild                             Halfcrazy                                254493                               pop-R&B                                 0.412
                       Musiq_Soulchild                                  Love                                304666                               pop-R&B                                 0.569
                               Mustard                            Pure_Water                                192470                            hiphop-pop                                 0.682
                   My_Chemical_Romance                             Teenagers                                161920                                  rock                                 0.463
                   My_Chemical_Romance           Welcome_to_the_Black_Parade                                311106                                  rock                                 0.217
                                   Mya                        Case_Of_The_Ex                                236906                               pop-R&B                                 0.772
                              Mystikal                          Shake_Ya_Ass                                256973                            hiphop-pop                                 0.914
                               N.E.R.D                     She_Wants_To_Move                                213786                                hiphop                                 0.766
                              N.O.R.E.                               Nothin'                                264653                            hiphop-pop                                 0.791
                                    NF                          Let_You_Down                                212120                            hiphop-pop                                 0.662
                            NLE_Choppa                           Shotta_Flow                                176631                                hiphop                                 0.894
                                   NSG                               Options                                240081              World/Traditional-hiphop                                 0.836
                                   Nas                                 I_Can                                253720                                hiphop                                 0.837
                     Natalie_Imbruglia                                Shiver                                222653                     pop-Folk/Acoustic                                 0.489
                       Natalie_La_Rose                              Somebody                                189906                                   pop                                  0.83
                   Natasha_Bedingfield                 Pocketful_of_Sunshine                                203440                                   pop                                 0.726
