                                                                                  REPORTE FINAL
                              ARTISTAS                               TITULOS                        REPRODUCCIONES                               GENEROS                             BAILABLES
                                   B2K                                Uh_Huh                                223293                        hiphop-pop-R&B                                 0.855
                                 BARNS                         Electric_Love                                218173                              rock-pop                                 0.373
                             BLACKPINK                        Kill_This_Love                                189052                                   pop                                 0.738
                                   BTS                          Boy_With_Luv                                229773                                   pop                                 0.645
                               B_Young                               Jumanji                                173153               hiphop-Dance/Electronic                                 0.791
                                Baauer                          Harlem_Shake                                196664                      Dance/Electronic                                 0.452
                             Baby_Bash                         Baby_I'm_Back                                219920                  hiphop-pop-R&B-latin                                 0.899
                             Baby_Bash                             Suga_Suga                                239026                  hiphop-pop-R&B-latin                                 0.662
                             Baby_Bash                             Suga_Suga                                239026                  hiphop-pop-R&B-latin                                 0.662
                    Baby_Boy_Da_Prince                        The_Way_I_Live                                324906                            hiphop-pop                                  0.88
                       Backstreet_Boys                            Incomplete                                239586                                   pop                                 0.437
                       Backstreet_Boys                     Shape_of_My_Heart                                230093                                   pop                                 0.575
                       Backstreet_Boys   Show_Me_the_Meaning_of_Being_Lonely                                234960                                   pop                                  0.63
                             Bad_Bunny                              Callaita                                250533                                 latin                                  0.61
                             Bad_Bunny                                   MIA                                210367                                 latin                                 0.817
                        Bad_Meets_Evil                              Lighters                                303813                            hiphop-pop                                 0.676
                              Baha_Men                  Who_Let_The_Dogs_Out                                198400                                   R&B                                 0.869
                           Banx_&_Ranx                           Answerphone                                190920                      Dance/Electronic                                 0.671
                         Basement_Jaxx                             Good_Luck                                282306                  pop-Dance/Electronic                                 0.571
                         Basement_Jaxx                                 Romeo                                217493                  pop-Dance/Electronic                                 0.713
                            Basshunter                     All_I_Ever_Wanted                                176453                                   pop                                 0.645
                            Basshunter                       Now_You're_Gone                                148186                                   pop                                 0.639
                              Bastille                            Good_Grief                                206493                              pop-rock                                  0.73
                              Bastille                          Of_The_Night                                214205                              pop-rock                                  0.67
                              Bastille                               Pompeii                                214147                              pop-rock                                 0.679
                                 Bazzi                                  Mine                                131064                  pop-Dance/Electronic                                  0.71
                               Becky_G                                Shower                                206166                             pop-latin                                 0.699
                               Becky_G                            Sin_Pijama                                188560                             pop-latin                                 0.791
                         Benny_Benassi                          Satisfaction                                285570                  pop-Dance/Electronic                                 0.793
                               Beyonce                                    11                                213506                               pop-R&B                                 0.747
                               Beyonce                              Baby_Boy                                244826                               pop-R&B                                 0.655
                               Beyonce                        Beautiful_Liar                                199853                               pop-R&B                                 0.764
                               Beyonce                Best_Thing_I_Never_Had                                253746                               pop-R&B                                 0.545
                               Beyonce                           Check_On_It                                211186                               pop-R&B                                   0.7
                               Beyonce                         Crazy_In_Love                                236133                               pop-R&B                                 0.646
                               Beyonce                               Deja_Vu                                240280                               pop-R&B                                 0.644
                               Beyonce                         Drunk_in_Love                                323480                               pop-R&B                                 0.589
                               Beyonce                                  Halo                                261640                               pop-R&B                                 0.508
                               Beyonce                       If_I_Were_a_Boy                                249146                               pop-R&B                                 0.632
                               Beyonce                         Irreplaceable                                227853                               pop-R&B                                 0.447
                               Beyonce                       Me_Myself_and_I                                301133                               pop-R&B                                  0.75
                               Beyonce                          Naughty_Girl                                208600                               pop-R&B                                 0.735
                               Beyonce                         Single_Ladies                                193213                               pop-R&B                                 0.426
                               Beyonce                                 Sorry                                232560                               pop-R&B                                 0.775
                               Beyonce                          Sweet_Dreams                                208066                               pop-R&B                                 0.694
                            Big_Brovaz                               Nu_Flow                                201480                                   pop                                 0.783
                              Big_Sean                           Bounce_Back                                222360                            hiphop-pop                                  0.78
                              Big_Sean                 I_Don't_Fuck_With_You                                284386                            hiphop-pop                                 0.824
                              Big_Shaq                         Man's_Not_Hot                                186026                  pop-Dance/Electronic                                 0.905
                            Big_Tymers                             Still_Fly                                335613                            hiphop-pop                                 0.675
                         Billie_Eilish                                 Bored                                180933                  pop-Dance/Electronic                                 0.614
                         Billie_Eilish                               bad_guy                                194087                  pop-Dance/Electronic                                 0.701
                         Billie_Eilish                         bury_a_friend                                193143                  pop-Dance/Electronic                                 0.905
                         Billie_Eilish                                lovely                                200185                  pop-Dance/Electronic                                 0.351
                         Billie_Eilish                                lovely                                200185                  pop-Dance/Electronic                                 0.351
                         Bingo_Players                                Get_Up                                166933                  pop-Dance/Electronic                                 0.801
